t		|				r1			|			v1				|				r2			|			v2				|				r3			|			v3				|
   799.90	|	 10294.54 16816.32 23017.05	|	    10.64    15.04    26.72	|	  7741.82 15120.71 27532.89	|	    34.09    31.87    40.35	|	  7436.57 16759.68 22391.41	|	    -0.11    67.83    42.59	|
   809.90	|	 10396.68 16966.53 23284.47	|	     9.79    15.03    26.77	|	  8087.76 15443.17 27925.83	|	    35.08    32.61    38.23	|	  7473.21 17436.04 22825.82	|	     7.38    67.22    44.20	|
   819.90	|	 10490.61 17117.24 23552.70	|	     9.00    15.13    26.89	|	  8443.22 15772.86 28297.10	|	    35.99    33.32    36.01	|	  7582.42 18100.13 23273.64	|	    14.36    65.41    45.28	|
   829.90	|	 10577.03 17269.56 23822.37	|	     8.29    15.34    27.06	|	  8807.32 16109.31 28645.67	|	    36.81    33.97    33.68	|	  7758.09 18741.14 23729.75	|	    20.64    62.65    45.87	|
   839.90	|	 10656.80 17424.38 24094.05	|	     7.68    15.63    27.28	|	  9179.10 16452.01 28970.41	|	    37.53    34.56    31.24	|	  7992.51 19350.88 24189.60	|	    26.10    59.20    46.04	|
   849.90	|	 10730.86 17582.33 24368.22	|	     7.15    15.97    27.56	|	  9557.50 16800.38 29270.14	|	    38.13    35.10    28.68	|	  8277.30 19923.63 24649.41	|	    30.72    55.29    45.87	|
   859.90	|	 10800.17 17743.83 24645.32	|	     6.72    16.34    27.87	|	  9941.32 17153.78 29543.58	|	    38.61    35.57    25.99	|	  8604.10 20455.77 25106.15	|	    34.51    51.11    45.44	|
   869.90	|	 10865.65 17909.15 24925.73	|	     6.39    16.73    28.22	|	 10329.20 17511.50 29789.39	|	    38.94    35.96    23.15	|	  8965.03 20945.32 25557.47	|	    37.55    46.79    44.80	|
   879.90	|	 10928.18 18078.46 25209.74	|	     6.13    17.13    28.59	|	 10719.57 17872.74 30006.19	|	    39.10    36.27    20.18	|	  9352.87 21391.57 26001.65	|	    39.91    42.46    44.02	|
   889.90	|	 10988.59 18251.82 25497.64	|	     5.96    17.54    28.99	|	 11110.62 18236.60 30192.56	|	    39.07    36.49    17.07	|	  9761.18 21794.66 26437.46	|	    41.66    38.17    43.13	|
   899.90	|	 11047.64 18429.27 25789.65	|	     5.86    17.95    29.41	|	 11500.26 18602.10 30347.07	|	    38.82    36.60    13.81	|	 10184.31 22155.31 26864.07	|	    42.88    33.98    42.18	|
   909.90	|	 11106.09 18610.80 26085.95	|	     5.84    18.36    29.85	|	 11886.10 18968.12 30468.31	|	    38.30    36.59    10.42	|	 10617.31 22474.62 27280.97	|	    43.65    29.90    41.19	|
   919.90	|	 11164.63 18796.41 26386.72	|	     5.88    18.77    30.30	|	 12265.33 19333.43 30554.95	|	    37.49    36.45     6.89	|	 11055.89 22753.84 27687.88	|	    44.01    25.96    40.19	|
   929.90	|	 11223.97 18986.12 26692.08	|	     6.00    19.18    30.77	|	 12634.77 19696.67 30605.78	|	    36.33    36.17     3.26	|	 11496.32 22994.28 28084.75	|	    44.02    22.15    39.19	|
   939.90	|	 11284.79 19179.94 27002.12	|	     6.18    19.59    31.24	|	 12990.69 20056.35 30619.81	|	    34.78    35.74    -0.46	|	 11935.38 23197.18 28471.64	|	    43.74    18.45    38.20	|
   949.90	|	 11347.81 19377.92 27316.88	|	     6.44    20.01    31.71	|	 13328.85 20410.91 30596.43	|	    32.77    35.15    -4.22	|	 12370.25 23363.59 28848.76	|	    43.19    14.84    37.23	|
